Caso,Δt,error,mu_mx,K_N,Y_NB,bet_mx,K_S,Y_SE,err_q.global,pRMSD.C_B,pRMSD.C_N,pRMSD.C_S,pRMSD.C_E,npRMSD.C_B,npRMSD.C_N,npRMSD.C_S,npRMSD.C_E,Regr_P.C_B,Regr_P.C_N,Regr_P.C_S,Regr_P.C_E,LackAdj_P.C_B,LackAdj_P.C_N,LackAdj_P.C_S,LackAdj_P.C_E,scal.mu_mx,scal.K_N,scal.Y_NB,scal.bet_mx,scal.K_S,scal.Y_SE,Solver,Slvr.ID,DEoptim.itmx,Slvr.Msg,Slvr.FuncEvs,n_iter/n_EvalFnc,t_com [s],CAS Notas
EM06e005,06,005,0.201365749442202,0.0549672526463089,0.0324889221419272,0.546696883450667,5.41662339687246,1.78113941796073,390.2892704011,0.0854659663548134,0.0021878179710377,3.1028173687577,1.87696743222941,0.033405738576881,0.0256904623273704,0.0263111138259003,0.0297405317807717,5.2329049952136e-36,7.75809489751441e-50,3.3577068926572e-23,1.4253320673543399e-33,0.0004750347615482,4.21583346855112e-12,0.549492509065898,0.0039550478592849,1,1000,100,1,1,1,L-BFGS-B,1,,NEW_X,137,1781,529.189,"* Distintas cotas en K_S, K_N, bet_mx, con rto a primeras pruebas (3.09.2021 y 17.09.2021)."
EM06e010,06,010,0.153758956482652,0.0296842860661645,0.0354439069271942,0.601902961858485,7.42192026970414,1.76305148032673,1276.94957362145,0.140955595609546,0.002547966833996,6.48738879176904,3.17995415396619,0.0528759323412894,0.0281606550255859,0.0503433707287053,0.048957723618327,3.5194460329697196e-36,3.5764687621475497e-28,1.56054501037058e-20,1.15743322356257e-24,0.0004031219732487,0.113574405985669,0.798421112814599,0.394849574426315,1,1000,100,1,1,1,L-BFGS-B,1,,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,101,1313,368.258,"* Distintas cotas en K_S, K_N, bet_mx, con rto a primeras pruebas (3.09.2021 y 17.09.2021)."
EM06e015,06,015,0.1114159878358,0.0001149652299219,0.0375420406012114,0.524958768395822,1.99318605650708,1.80627434466006,3633.62261346204,0.208180449285857,0.0058056211721339,10.3046818644113,5.20846081336895,0.0849789750669699,0.0625642282912157,0.0729233471457273,0.0759913669513759,1.6814615360017e-32,7.40839345568327e-46,2.7098284012100098e-28,1.06510857256424e-33,0.0089167706677881,2.4033657649878402e-09,0.107471486225068,0.0035757686138089,1,1000,100,1,1,1,L-BFGS-B,1,,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,76,988,277.035,"* Distintas cotas en K_S, K_N, bet_mx, con rto a primeras pruebas (3.09.2021 y 17.09.2021)."
EM06e020,06,020,0.0898963894565749,0.0001026897034719,0.0379156102602568,0.604023381361431,10.4631542549699,2.06931518974895,6185.16441222837,0.288605826554764,0.0056613602519258,13.0340518715457,9.07494208573898,0.0998072732407854,0.0605716746140833,0.0944278949035794,0.126226133704669,2.59917705021179e-39,4.65372303555921e-44,7.09867663185313e-30,2.7440550238926e-38,1.48089384510962e-05,3.31652999012191e-08,0.0479787061783506,4.65728855937604e-05,1,1000,100,1,1,1,L-BFGS-B,1,,ERROR: ABNORMAL_TERMINATION_IN_LNSRCH,187,2431,660.152,"* Distintas cotas en K_S, K_N, bet_mx, con rto a primeras pruebas (3.09.2021 y 17.09.2021)."
EM06e025,06,025,0.294024287741362,0.1,0.0298894757075022,2.28064389526785,213.936314744064,1.67668418708193,8789.99774537847,0.365334623828732,0.0054096718771316,17.2510835836404,8.78293364192053,0.126865551537134,0.0527776473512827,0.119365683995076,0.122256537000799,1.8543613508134801e-35,1.5042789313210399e-22,3.22372957598308e-34,2.7122739946231098e-33,0.0007919157877169,0.61726834213063,0.0023394437976505,0.0049234382214745,1,1000,100,1,1,1,L-BFGS-B,1,,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,116,1508,410.188,"* Distintas cotas en K_S, K_N, bet_mx, con rto a primeras pruebas (3.09.2021 y 17.09.2021)."
EM08e005,08,005,0.112421926528141,0.0017463327600253,0.0363605604031036,0.533082256071375,0.0411813801681771,1.80547758178974,507.444819507104,0.116907321306651,0.0042369002902099,3.16224568994732,1.67016235460278,0.0496078360701129,0.0480669929643381,0.027096777842394,0.0267320192390603,5.53023097842873e-32,5.947698132687661e-52,5.2349234756353e-22,4.52812473998548e-19,3.20853091152817e-07,7.17682481270589e-24,0.0247471692359049,0.14773847521403,1,1000,100,1,1,1,L-BFGS-B,1,,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,96,1248,328.207,"* Distintas cotas en K_S, K_N, bet_mx, con rto a primeras pruebas (3.09.2021 y 17.09.2021)."
EM08e010,08,010,0.120652908635408,0.0099796709806037,0.0328814053145929,0.578109071457133,7.70436716225017,1.82380624316532,980.972128727232,0.119549988905158,0.0026781393300807,6.43405806568534,3.29682129068523,0.0475511306057202,0.0289441118934588,0.0505882731134886,0.0504287344184798,1.85603664609517e-18,2.17925942749562e-22,2.27915083790731e-15,2.6544105455706e-18,0.196582920940593,0.0186385836752269,0.54737526454057,0.210384577914875,1,1000,100,1,1,1,L-BFGS-B,1,,ERROR: ABNORMAL_TERMINATION_IN_LNSRCH,79,1027,271.576,"* Distintas cotas en K_S, K_N, bet_mx, con rto a primeras pruebas (3.09.2021 y 17.09.2021)."
EM08e015,08,015,0.146720714182194,0.0244650375194174,0.0321369186552454,0.446436122198175,0.254633870771662,1.82495156150025,2590.59732803665,0.196113295656717,0.0044412401789752,10.365874730312,5.45815582337928,0.0742347127606326,0.0464505720599645,0.0777613114585814,0.0783144522144404,2.18315991771769e-23,3.66786773136409e-15,4.87950202011582e-18,2.7934262772653503e-17,0.0083610763116596,0.57312894872359,0.235144007662335,0.314297762909911,1,1000,100,1,1,1,L-BFGS-B,1,,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,99,1287,339.446,"* Distintas cotas en K_S, K_N, bet_mx, con rto a primeras pruebas (3.09.2021 y 17.09.2021)."
EM08e020,08,020,0.15901620427675,0.0226242188439412,0.0322990338116916,0.493208359497402,0.0125125959759942,1.87492499698135,3752.81064562479,0.273549268282921,0.0060932901399207,12.4017831109427,6.03621000044797,0.114231608515505,0.0649906521998873,0.0857687470303325,0.0866558144479576,5.3510484235016103e-20,4.943291600883271e-25,3.26045955500608e-21,2.9235241912057903e-15,0.0906380786743694,0.0018651510041283,0.0430175331466668,0.560882103424382,1,1000,100,1,1,1,L-BFGS-B,1,,NEW_X,131,1703,460.845,"* Distintas cotas en K_S, K_N, bet_mx, con rto a primeras pruebas (3.09.2021 y 17.09.2021)."
EM08e025,08,025,0.150399636487039,0.0365025592000599,0.0297325164224739,0.519891717124289,0.01,1.70889675883423,5557.32829973072,0.304797710189621,0.0067351912546834,14.2152994765343,9.44866835339234,0.105774172611745,0.0738191196306205,0.104279772627538,0.128682513291849,8.82178886074928e-27,1.4991759840466301e-24,4.2818017780639495e-18,2.04530151500571e-18,0.0002972991088882,0.0029620184860399,0.229697212006932,0.200273020324658,1,1000,100,1,1,1,L-BFGS-B,1,,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,65,845,236.944,"* Distintas cotas en K_S, K_N, bet_mx, con rto a primeras pruebas (3.09.2021 y 17.09.2021)."
